Geolocation,Commodity,Date,CPI
mimaropa region,rice,2022-02-01,95.2554704671389
mimaropa region,rice,2022-03-01,93.849939875034
mimaropa region,rice,2022-04-01,94.2704818419447
mimaropa region,rice,2022-05-01,93.3737570693094
mimaropa region,rice,2022-06-01,92.9525085692783
mimaropa region,rice,2022-07-01,93.4094708552646
mimaropa region,rice,2022-08-01,96.3356327624894
mimaropa region,rice,2022-09-01,96.7800400922803
mimaropa region,rice,2022-10-01,97.9429194617015
mimaropa region,rice,2022-11-01,98.9267151982409
mimaropa region,rice,2022-12-01,98.8590906222951
mimaropa region,rice,2023-01-01,99.1473590283288
mimaropa region,rice,2023-02-01,98.7209236979988
mimaropa region,rice,2023-03-01,99.2568447849418
mimaropa region,rice,2023-04-01,100.113614788955
mimaropa region,rice,2023-05-01,101.038243090945
mimaropa region,rice,2023-06-01,101.89002531014
mimaropa region,rice,2023-07-01,102.696990632376
mimaropa region,rice,2023-08-01,103.141044217754
mimaropa region,rice,2023-09-01,108.373014535033
mimaropa region,rice,2023-10-01,107.327995154079
mimaropa region,rice,2023-11-01,107.253906273589
mimaropa region,rice,2023-12-01,109.719339621136
mimaropa region,rice,2024-01-01,110.396010810907
mimaropa region,rice,2024-02-01,114.353209331007
mimaropa region,rice,2024-03-01,121.959558161526
mimaropa region,rice,2024-04-01,120.922843810706
mimaropa region,rice,2024-05-01,121.02288731526
mimaropa region,rice,2024-06-01,121.159238473262
mimaropa region,rice,2024-07-01,121.807638185218
mimaropa region,rice,2024-08-01,121.044384447861
mimaropa region,rice,2024-09-01,120.300960775285
mimaropa region,rice,2024-10-01,117.705059750183
mimaropa region,rice,2024-11-01,112.251070163233
mimaropa region,rice,2024-12-01,109.119588572185
mimaropa region,corn,2020-01-01,138.001207069895
mimaropa region,corn,2020-02-01,138.985361135218
mimaropa region,corn,2020-03-01,139.428435783925
mimaropa region,corn,2020-04-01,140.033053750688
mimaropa region,corn,2020-05-01,141.113904663082
mimaropa region,corn,2020-06-01,141.138719255619
mimaropa region,corn,2020-07-01,142.494633667886
mimaropa region,corn,2020-08-01,139.9860141717
mimaropa region,corn,2020-09-01,139.269608780858
mimaropa region,corn,2020-10-01,141.861512803629
mimaropa region,corn,2020-11-01,144.494417586288
mimaropa region,corn,2020-12-01,159.021244214478
mimaropa region,corn,2021-01-01,161.359311705271
mimaropa region,corn,2021-02-01,162.54337318336
mimaropa region,corn,2021-03-01,169.123487016642
mimaropa region,corn,2021-04-01,168.896479154637
mimaropa region,corn,2021-05-01,169.533105458803
mimaropa region,corn,2021-06-01,169.916920845281
mimaropa region,corn,2021-07-01,169.063097775999
mimaropa region,corn,2021-08-01,169.063097775999
mimaropa region,corn,2021-09-01,169.063097775999
mimaropa region,corn,2021-10-01,169.436881020149
mimaropa region,corn,2021-11-01,169.706733251949
mimaropa region,corn,2021-12-01,170.590859897493
mimaropa region,corn,2022-01-01,172.078271281636
mimaropa region,corn,2022-02-01,175.090044595718
mimaropa region,corn,2022-03-01,174.572522047012
mimaropa region,corn,2022-04-01,174.780738698659
mimaropa region,corn,2022-05-01,176.415824369294
mimaropa region,corn,2022-06-01,179.397533750309
mimaropa region,corn,2022-07-01,180.393115424277
mimaropa region,corn,2022-08-01,180.733869063796
mimaropa region,corn,2022-09-01,182.381605333187
mimaropa region,corn,2022-10-01,183.918889674134
mimaropa region,corn,2022-11-01,188.936153115722
mimaropa region,corn,2022-12-01,192.369402766428
mimaropa region,corn,2023-01-01,194.040451683081
mimaropa region,corn,2023-02-01,195.96213382601
mimaropa region,corn,2023-03-01,198.143777752883
mimaropa region,corn,2023-04-01,198.443352478953
mimaropa region,corn,2023-05-01,197.577014972838
mimaropa region,corn,2023-06-01,197.268989042056
mimaropa region,corn,2023-07-01,201.353719506539
mimaropa region,corn,2023-08-01,195.050591744351
mimaropa region,corn,2023-09-01,196.995211939902
mimaropa region,corn,2023-10-01,197.645616539973
mimaropa region,corn,2023-11-01,191.433023397577
mimaropa region,corn,2023-12-01,191.465777671024
mimaropa region,corn,2024-01-01,192.411799980776
mimaropa region,corn,2024-02-01,193.819624503004
mimaropa region,corn,2024-03-01,194.164902571984
mimaropa region,corn,2024-04-01,198.822447711994
mimaropa region,corn,2024-05-01,198.97770239696
mimaropa region,corn,2024-06-01,196.505451316748
mimaropa region,corn,2024-07-01,198.30696537415
mimaropa region,corn,2024-08-01,195.897543713506
mimaropa region,corn,2024-09-01,196.517252201185
mimaropa region,corn,2024-10-01,199.243017151071
mimaropa region,corn,2024-11-01,200.96302735243
mimaropa region,corn,2024-12-01,201.215661972125
region i (ilocos region),rice,2020-01-01,94.4393426877658
region i (ilocos region),rice,2020-02-01,93.8298457056181
region i (ilocos region),rice,2020-03-01,93.9293410877044
region i (ilocos region),rice,2020-04-01,93.6279155059477
region i (ilocos region),rice,2020-05-01,94.4711239211286
region i (ilocos region),rice,2020-06-01,95.9088721979838
region i (ilocos region),rice,2020-07-01,96.1436380854711
region i (ilocos region),rice,2020-08-01,95.4174364675541
region i (ilocos region),rice,2020-09-01,95.138218747705
region i (ilocos region),rice,2020-10-01,94.6825687526355
region i (ilocos region),rice,2020-11-01,94.5130262051378
region i (ilocos region),rice,2020-12-01,95.0566779346406
region i (ilocos region),rice,2021-01-01,93.448629504441
region i (ilocos region),rice,2021-02-01,95.4692062705598
region i (ilocos region),rice,2021-03-01,95.3890885581373
region i (ilocos region),rice,2021-04-01,96.5914727998639
region i (ilocos region),rice,2021-05-01,95.3798923060153
region i (ilocos region),rice,2021-06-01,94.2617504771929
region i (ilocos region),rice,2021-07-01,95.0919778036577
region i (ilocos region),rice,2021-08-01,96.9329076270381
region i (ilocos region),rice,2021-09-01,97.8032291057981
region i (ilocos region),rice,2021-10-01,96.9585622926689
region i (ilocos region),rice,2021-11-01,96.792564218574
region i (ilocos region),rice,2021-12-01,96.4491345285756
region i (ilocos region),rice,2022-01-01,95.3323420583475
region i (ilocos region),rice,2022-02-01,95.5835078469877
region i (ilocos region),rice,2022-03-01,97.1018852955043
region i (ilocos region),rice,2022-04-01,97.1870611908004
region i (ilocos region),rice,2022-05-01,96.7801373738804
region i (ilocos region),rice,2022-06-01,96.7693287346862
region i (ilocos region),rice,2022-07-01,97.1358127954555
region i (ilocos region),rice,2022-08-01,98.8744772669281
region i (ilocos region),rice,2022-09-01,99.3577594391435
region i (ilocos region),rice,2022-10-01,99.4128493498177
region i (ilocos region),rice,2022-11-01,99.3382864763777
region i (ilocos region),rice,2022-12-01,99.5136456889776
region i (ilocos region),rice,2023-01-01,99.4068982220426
region i (ilocos region),rice,2023-02-01,99.7033115077727
region i (ilocos region),rice,2023-03-01,99.9897859011088
region i (ilocos region),rice,2023-04-01,99.910066106236
region i (ilocos region),rice,2023-05-01,100.098344781599
region i (ilocos region),rice,2023-06-01,100.521126196764
region i (ilocos region),rice,2023-07-01,100.941501162981
region i (ilocos region),rice,2023-08-01,113.938845610572
region i (ilocos region),rice,2023-09-01,121.60862318764
region i (ilocos region),rice,2023-10-01,114.933565994969
region i (ilocos region),rice,2023-11-01,115.444831876638
region i (ilocos region),rice,2023-12-01,118.922285207314
region i (ilocos region),rice,2024-01-01,124.398272269331
region i (ilocos region),rice,2024-02-01,126.042682763694
region i (ilocos region),rice,2024-03-01,126.821007605018
region i (ilocos region),rice,2024-04-01,127.225769054756
region i (ilocos region),rice,2024-05-01,126.561612207678
region i (ilocos region),rice,2024-06-01,125.612016467465
region i (ilocos region),rice,2024-07-01,124.721455704781
region i (ilocos region),rice,2024-08-01,125.797745016515
region i (ilocos region),rice,2024-09-01,125.365184960493
region i (ilocos region),rice,2024-10-01,124.61694819661
region i (ilocos region),rice,2024-11-01,122.884263758752
region i (ilocos region),rice,2024-12-01,121.741287634778
region i (ilocos region),corn,2020-01-01,105.894012922877
region i (ilocos region),corn,2020-02-01,109.797698175875
region i (ilocos region),corn,2020-03-01,108.575629597626
region i (ilocos region),corn,2020-04-01,111.077892176225
region i (ilocos region),corn,2020-05-01,111.853779429905
region i (ilocos region),corn,2020-06-01,114.776898054326
region i (ilocos region),corn,2020-07-01,119.050200392872
region i (ilocos region),corn,2020-08-01,119.450406873968
region i (ilocos region),corn,2020-09-01,119.148049193051
region i (ilocos region),corn,2020-10-01,117.576417011083
region i (ilocos region),corn,2020-11-01,117.397827746852
region i (ilocos region),corn,2020-12-01,115.659622041899
region i (ilocos region),corn,2021-01-01,117.393765545661
region i (ilocos region),corn,2021-02-01,125.236422935846
region i (ilocos region),corn,2021-03-01,120.955961981074
region i (ilocos region),corn,2021-04-01,123.969543843931
region i (ilocos region),corn,2021-05-01,124.821524958142
region i (ilocos region),corn,2021-06-01,123.334756073213
region i (ilocos region),corn,2021-07-01,123.156208190918
region i (ilocos region),corn,2021-08-01,127.835952988611
region i (ilocos region),corn,2021-09-01,127.835952988611
region i (ilocos region),corn,2021-10-01,127.835952988611
